idAlerte,typePanne,niveauGravite,valeurDeclenchement,typeCapteur,emplacement,description,solution,satisfaction
1,CLIMATISATION,HIGH_CRITICAL,45.0,TEMPERATURE,Salle 1,Temperature critique détectée: 45.0°C,Maintenance d'urgence des climatiseurs,5
2,CLIMATISATION,HIGH_CRITICAL,50.5,TEMPERATURE,Salle 2,Surchauffe majeure: 50.5°C,Installation de refroidisseurs supplémentaires,4
3,CLIMATISATION,CRITIQUE,35.2,TEMPERATURE,Salle 1,Temperature élevée: 35.2°C,Ajustement du système de refroidissement,4
4,CLIMATISATION,CRITIQUE,38.0,TEMPERATURE,Salle 2,Temperature anormale: 38.0°C,Inspection des ventilateurs,3
5,CLIMATISATION,NORMALE,22.5,TEMPERATURE,Salle 1,Temperature stable: 22.5°C,Vérification des capteurs,3
6,CLIMATISATION,NORMALE,25.0,TEMPERATURE,Salle 2,Temperature dans la plage normale: 25.0°C,Calibration des capteurs,4
7,CLIMATISATION,BAS,-5.0,TEMPERATURE,Salle 1,Temperature basse: -5.0°C,Réglage du système de chauffage,4
8,CLIMATISATION,BAS_CRITIQUE,-10.0,TEMPERATURE,Salle 2,Gel détecté: -10.0°C,Maintenance du système de chauffage,5
9,CLIMATISATION,BAS_CRITIQUE,-15.0,TEMPERATURE,Salle 1,Temperature très basse: -15.0°C,Réparation du système de chauffage,4
10,ENVIRONNEMENT,HIGH_CRITICAL,92.0,HUMIDITE,Salle 1,Humidité excessive: 92.0%,Installation de déshumidificateurs,5
11,ENVIRONNEMENT,HIGH_CRITICAL,95.5,HUMIDITE,Salle 2,Humidité critique: 95.5%,Remplacement des absorbeurs d'humidité,4
12,ENVIRONNEMENT,CRITIQUE,85.0,HUMIDITE,Salle 1,Humidité élevée: 85.0%,Maintenance des systèmes de ventilation,4
13,ENVIRONNEMENT,CRITIQUE,88.0,HUMIDITE,Salle 2,Humidité anormale: 88.0%,Maintenance des systèmes de ventilation,3
14,ENVIRONNEMENT,NORMALE,60.0,HUMIDITE,Salle 1,Humidité stable: 60.0%,Vérification de l'étanchéité,3
15,ENVIRONNEMENT,NORMALE,70.0,HUMIDITE,Salle 2,Humidité dans la plage normale: 70.0%,Calibration des capteurs,4
16,ENVIRONNEMENT,BAS,35.0,HUMIDITE,Salle 1,Humidité basse: 35.0%,Ajustement du système d'humidification,4
17,ENVIRONNEMENT,BAS_CRITIQUE,25.0,HUMIDITE,Salle 2,Humidité très basse: 25.0%,Maintenance du système d'humidification,5
18,ENVIRONNEMENT,BAS_CRITIQUE,20.0,HUMIDITE,Salle 1,Humidité critique basse: 20.0%,Installation d'humidificateurs,4
19,ELECTRICITE,HIGH_CRITICAL,0.0,ELECTRICITE,Salle 1,Court-circuit détecté,Réparation du circuit électrique,5
20,ELECTRICITE,HIGH_CRITICAL,0.0,ELECTRICITE,Salle 2,Panne électrique majeure,Remplacement du tableau électrique,4
21,ELECTRICITE,HIGH_CRITICAL,0.0,ELECTRICITE,Salle 1,Coupure de courant,Réparation du transformateur,4
22,ELECTRICITE,HIGH_CRITICAL,0.0,ELECTRICITE,Salle 2,Problème de mise à la terre,Réparation du circuit de terre,3
23,ELECTRICITE,HIGH_CRITICAL,0.0,ELECTRICITE,Salle 1,Panne secteur,Réinitialisation du disjoncteur principal,4
24,CLIMATISATION,CRITIQUE,39.0,TEMPERATURE,Salle 2,Temperature critique: 39.0°C,Maintenance des climatiseurs,5
25,ENVIRONNEMENT,HIGH_CRITICAL,93.0,HUMIDITE,Salle 1,Humidité extrême: 93.0%,Installation de déshumidificateurs supplémentaires,4
26,CLIMATISATION,BAS,-2.0,TEMPERATURE,Salle 1,Temperature basse détectée: -2.0°C,Réglage du système de chauffage,3
27,ENVIRONNEMENT,BAS,38.0,HUMIDITE,Salle 2,Humidité légèrement basse: 38.0%,Ajustement des humidificateurs,4
28,ELECTRICITE,HIGH_CRITICAL,0.0,ELECTRICITE,Salle 1,Problème de circuit,Réparation des câbles endommagés,5
29,CLIMATISATION,HIGH_CRITICAL,60.0,TEMPERATURE,Salle 2,Surchauffe détectée: 60.0°C,Installation de systèmes de refroidissement,4
30,ENVIRONNEMENT,CRITIQUE,87.0,HUMIDITE,Salle 1,Humidité élevée détectée: 87.0%,Maintenance des systèmes de ventilation,4
31,CLIMATISATION,BAS,-3.0,TEMPERATURE,Salle 1,Temperature basse détectée: -3.0°C,Réglage du système de chauffage,4
32,CLIMATISATION,BAS,-7.0,TEMPERATURE,Salle 2,Temperature basse: -7.0°C,Réglage du système de chauffage,3
33,CLIMATISATION,NORMALE,20.0,TEMPERATURE,Salle 1,Temperature stable: 20.0°C,Calibration des capteurs,4
34,CLIMATISATION,NORMALE,23.5,TEMPERATURE,Salle 2,Temperature dans la plage normale: 23.5°C,Calibration des capteurs,4
35,CLIMATISATION,CRITIQUE,36.0,TEMPERATURE,Salle 1,Temperature élevée: 36.0°C,Ajustement du système de refroidissement,4
36,CLIMATISATION,CRITIQUE,37.5,TEMPERATURE,Salle 2,Temperature anormale: 37.5°C,Ajustement du système de refroidissement,3
37,CLIMATISATION,HIGH_CRITICAL,48.0,TEMPERATURE,Salle 1,Surchauffe détectée: 48.0°C,Maintenance d'urgence des climatiseurs,5
38,CLIMATISATION,HIGH_CRITICAL,55.0,TEMPERATURE,Salle 2,Surchauffe majeure: 55.0°C,Maintenance d'urgence des climatiseurs,4
39,ENVIRONNEMENT,CRITIQUE,86.0,HUMIDITE,Salle 1,Humidité élevée détectée: 86.0%,Maintenance des systèmes de ventilation,4
40,ENVIRONNEMENT,CRITIQUE,89.0,HUMIDITE,Salle 2,Humidité anormale: 89.0%,Maintenance des systèmes de ventilation,3
41,ENVIRONNEMENT,HIGH_CRITICAL,94.0,HUMIDITE,Salle 1,Humidité excessive: 94.0%,Installation de déshumidificateurs,5
42,ENVIRONNEMENT,HIGH_CRITICAL,96.0,HUMIDITE,Salle 2,Humidité critique: 96.0%,Installation de déshumidificateurs,4
43,ENVIRONNEMENT,NORMALE,65.0,HUMIDITE,Salle 1,Humidité stable: 65.0%,Calibration des capteurs,3
